time,chasis.delta,chasis.x,chasis.y,chasis.theta_out
0,0,0,0,0
0.0998695,0,0.199738903,0,0
0.199739,0,0.399477807,0,0
0.299608,0,0.59921671,0,0
0.399478,0,0.798955614,0,0
0.499347,0,0.998694517,0,0
0.599217,0,1.19843342,0,0
0.699086,0,1.398172324,0,0
0.798956,0,1.597911227,0,0
0.898825,0,1.797650131,0,0
0.998695,0,1.997389034,0,0
1.09856,0,2.197127937,0,0
1.19843,0,2.396866841,0,0
1.2983,0,2.596605744,0,0
1.39817,0,2.796344648,0,0
1.49804,0,2.996083551,0,0
1.59791,0,3.195822454,0,0
1.69778,0,3.395561358,0,0
1.79765,0,3.595300261,0,0
1.89752,0,3.795039164,0,0
1.99739,0,3.994778068,0,0
2,0,4.000000001,0,0
2.09726,0.097258486,4.194516901,0.000134435,0.033782913
2.19713,0.197127937,4.394254914,0.000707568,0.138783797
2.297,0.296997389,4.593989627,0.001969639,0.315027329
2.39687,0.396866841,4.793715939,0.004169389,0.562514064
2.49674,0.496736292,4.993425419,0.007555103,0.88124476
2.59661,0.596605744,5.193104206,0.01237479,1.271220447
2.69648,0.696475196,5.392733917,0.018876368,1.73244233
2.79634,0.796344648,5.59229082,0.027307521,2.264911798
2.89621,0.896214099,5.791743411,0.037915502,2.868630497
2.99608,0.996083551,5.991051794,0.050946903,3.543600301
3.09595,1.095953003,6.190166504,0.066647349,4.289823318
3.19582,1.195822454,6.389031231,0.085261576,5.1073018
3.29569,1.295691906,6.587576539,0.107032578,5.996038286
3.39556,1.395561358,6.785719836,0.132201159,6.956035562
3.49543,1.495430809,6.983367413,0.161005821,7.987296604
3.5953,1.595300261,7.180411463,0.193681861,9.089824625
3.69517,1.695169713,7.37673042,0.23046089,10.26362304
3.79504,1.795039164,7.572187978,0.271570135,11.5086955
3.89491,1.894908616,7.76663208,0.317231523,12.82504585
3.99478,1.994778068,7.95989432,0.367660792,14.21267818
4,2.000000001,7.969963606,0.370432739,14.28719522
4.09465,2,8.151822119,0.422946052,15.63958285
4.19452,2,8.342312963,0.482993885,17.06658497
4.29439,2,8.53125251,0.547767973,18.49358709
4.39426,2,8.718520292,0.617227353,19.92058921
4.49413,2,8.904000478,0.691328083,21.34759133
4.59399,2,9.087577678,0.770024264,22.77459345
4.69386,2,9.269137942,0.853267486,24.20159557
4.79373,2,9.448568813,0.941006352,25.62859769
4.8936,2,9.625759019,1.033186469,27.05559981
4.99347,2,9.800598607,1.129750814,28.48260193
5.09334,2,9.972979254,1.230639479,29.90960405
5.19321,2,10.14279378,1.335790397,31.33660617
5.29308,2,10.30993707,1.445137874,32.76360829
5.39295,2,10.47430529,1.558613801,34.19061041
5.49282,2,10.63579665,1.67614804,35.61761253
5.59269,2,10.79431092,1.797667529,37.04461465
5.69256,2,10.94974985,1.923096863,38.47161677
5.79243,2,11.10201698,2.052358162,39.89861889
5.8923,2,11.25101786,2.185371252,41.32562101
5.99217,2,11.39666012,2.322053702,42.75262313
6,1.999999999,11.40793833,2.332926603,42.86454487
6.09204,1.907963446,11.53893699,2.462233912,44.14935448
6.19191,1.808093995,11.6779879,2.605613413,45.47502261
6.29178,1.708224543,11.81391968,2.751957505,46.72941224
6.39164,1.608355091,11.94685493,2.901030667,47.91252729
6.49151,1.50848564,12.07693017,3.052604329,49.02437153
6.59138,1.408616188,12.20428987,3.206466341,50.06494838
6.69125,1.308746736,12.32908695,3.36241531,51.03426103
6.79112,1.208877285,12.45148348,3.520256382,51.93231248
6.89099,1.109007833,12.57164932,3.679803061,52.75910552
6.99086,1.009138381,12.68976128,3.840876419,53.51464274
7.09073,0.90926893,12.80600157,4.003305203,54.19892646
7.1906,0.809399478,12.92055803,4.166925463,54.81195881
7.29047,0.709530026,13.03362358,4.33157859,55.35374169
7.39034,0.609660574,13.14539574,4.497112874,55.8242768
7.49021,0.509791123,13.25607324,4.663379995,56.22356557
7.59008,0.409921671,13.36586006,4.830237575,56.55160925
7.68995,0.310052219,13.47496019,4.997544086,56.80840886
7.78982,0.210182768,13.58358132,5.165163132,56.99396519
7.88969,0.110313316,13.69193029,5.332957461,57.10827881
7.98956,0.010443864,13.80021636,5.500793217,57.15135009
8,0,13.81154513,5.518341484,57.15173964
8.08943,0,13.90855688,5.668596147,57.15173964
8.1893,0,14.01689846,5.836398802,57.15173964
8.28916,0,14.12524004,6.004201457,57.15173964
8.38903,0,14.23358163,6.172004112,57.15173964
8.4889,0,14.34192321,6.339806767,57.15173964
8.58877,0,14.45026479,6.507609421,57.15173964
8.68864,0,14.55860637,6.675412076,57.15173964
8.78851,0,14.66694796,6.843214731,57.15173964
8.88838,0,14.77528954,7.011017386,57.15173964
8.98825,0,14.88363112,7.178820041,57.15173964
9.08812,0,14.99197271,7.346622695,57.15173964
9.18799,0,15.10031429,7.51442535,57.15173964
9.28786,0,15.20865587,7.682228005,57.15173964
9.38773,0,15.31699745,7.85003066,57.15173964
9.4876,0,15.42533904,8.017833315,57.15173964
9.58747,0,15.53368062,8.185635969,57.15173964
9.68734,0,15.6420222,8.353438624,57.15173964
9.78721,0,15.75036379,8.521241279,57.15173964
9.88708,0,15.85870537,8.689043934,57.15173964
9.98695,0,15.96704695,8.856846589,57.15173964
10,0,15.98120925,8.878781578,57.15173964
10.0868,-0.217036554,16.07561155,9.02450484,57.08444686
10.1867,-0.466710183,16.18505705,9.191588734,56.84056852
10.2866,-0.716383812,16.29588179,9.357759951,56.41857826
10.3864,-0.966057441,16.408573,9.522670317,55.8184682
10.4863,-1.21573107,16.52364329,9.685929734,55.04022679
10.5862,-1.4654047,16.64158002,9.847131743,54.08383883
10.686,-1.715078329,16.76283354,10.00585139,52.94928549
10.7859,-1.964751958,16.8878336,10.16163417,51.63654478
10.8858,-2.214425587,17.01698472,10.31398986,50.14559141
10.9856,-2.464099217,17.15065299,10.46239163,48.47639642
11.0855,-2.713772846,17.28917231,10.60627538,46.62892766
11.1854,-2.963446475,17.43281925,10.74503612,44.60314923
11.2852,-3.213120104,17.58181956,10.87802844,42.39902191
11.3851,-3.462793734,17.73633725,11.00456587,40.01650295
11.485,-3.712467363,17.89646447,11.12392151,37.45554617
11.5849,-3.962140992,18.06221554,11.23533113,34.71610195
11.6847,-4.211814621,18.2335164,11.33799709,31.7981172
11.7846,-4.461488251,18.41020025,11.43109169,28.70153537
11.8845,-4.71116188,18.5919926,11.51376633,25.42629646
11.9843,-4.960835509,18.77850059,11.58516216,21.972337
12,-5,18.80815303,11.59528177,21.41431898
12.0842,-5,18.96913191,11.6446415,18.40314903
12.1841,-5,19.16309105,11.69212241,14.83176137
12.2839,-5,19.35965234,11.72743397,11.2603737
12.3838,-5,19.55803672,11.75043076,7.688986039
12.4837,-5,19.75746094,11.7610214,4.117598374
12.5836,-5,19.95715693,11.75917199,0.54621071
12.5988,-5,19.98767322,11.75779171,360
12.6834,-5,20.15634391,11.74488837,356.974823
12.7833,-5,20.35425649,11.71822506,353.4034354
12.8832,-5,20.55013311,11.6792827,349.8320477
12.983,-5,20.74320298,11.62821861,346.2606601
13.0829,-5,20.93271678,11.56523086,342.6892724
13.1828,-5,21.11793865,11.49056213,339.1178847
13.2826,-5,21.29814928,11.40450068,335.5464971
13.3825,-5,21.47264868,11.30738006,331.9751094
13.4824,-5,21.64075929,11.19957633,328.4037217
13.5822,-5,21.80182658,11.08150477,324.8323341
13.6821,-5,21.95522561,10.95362782,321.2609464
13.782,-5,22.10036013,10.8164437,317.6895587
13.8819,-5,22.23666523,10.67048862,314.1181711
13.9817,-5,22.36361223,10.51632856,310.5467834
14.0816,-5,22.48070926,10.35456041,306.9753957
14.1815,-5,22.58750124,10.18581169,303.4040081
14.2813,-5,22.68357439,10.01073658,299.8326204
14.3812,-5,22.76855606,9.830014845,296.2612328
14.4811,-5,22.84211511,9.644350686,292.6898451
14.5809,-5,22.90396691,9.454464091,289.1184574
14.6808,-5,22.95387064,9.261093357,285.5470698
14.7807,-5,22.99163237,9.064989482,281.9756821
14.8805,-5,23.01710504,8.866913983,278.4042944
14.9804,-5,23.03018951,8.667636249,274.8329068
15,-4.999999996,23.03129725,8.628487613,274.1326346
15.0803,-4.799281984,23.03105589,8.467934131,271.3192903
15.1802,-4.549608355,23.02046982,8.26850596,267.9809805
15.28,-4.299934726,22.9990862,8.069936705,264.8213505
15.3799,-4.050261097,22.96759399,7.872722105,261.8403378
15.4798,-3.800587467,22.92668113,7.677241646,259.0378852
15.5796,-3.550913838,22.87704122,7.483786639,256.4139386
15.6795,-3.301240209,22.81936996,7.292568588,253.9684471
15.7794,-3.05156658,22.75435642,7.103718852,251.7013631
15.8792,-2.80189295,22.68267768,6.917295364,249.6126427
15.9791,-2.552219321,22.60499626,6.733290154,247.7022454
16.079,-2.302545692,22.52195847,6.551637104,245.9701342
16.1789,-2.052872063,22.43419303,6.372219608,244.4162756
16.2787,-1.803198433,22.34231075,6.194875058,243.0406395
16.3786,-1.553524804,22.2469057,6.019400319,241.8431991
16.4785,-1.303851175,22.14855514,5.84555756,240.8239312
16.5783,-1.054177546,22.04782341,5.673080351,239.9828162
16.6782,-0.804503916,21.94526238,5.501680647,239.3198378
16.7781,-0.554830287,21.84141444,5.331055259,238.8349831
16.8779,-0.305156658,21.73681472,5.160890538,238.5282429
16.9778,-0.055483029,21.63199342,4.990865748,238.3996109
17,0,21.60872288,4.953068545,238.3952133
17.0777,0,21.52730932,4.820757457,238.3952133
17.1775,0,21.42263474,4.650643198,238.3952133
17.2774,0,21.31796015,4.480528938,238.3952133
17.3773,0,21.21328557,4.310414679,238.3952133
17.4772,0,21.10861099,4.140300419,238.3952133
17.577,0,21.00393641,3.97018616,238.3952133
17.6769,0,20.89926182,3.8000719,238.3952133
17.7768,0,20.79458724,3.629957641,238.3952133
17.8766,0,20.68991266,3.459843382,238.3952133
17.9765,0,20.58523808,3.289729122,238.3952133
18.0764,0,20.48056349,3.119614863,238.3952133
